year,borough,incident_classification,incident_classification_group,zipcode,incident_count,avg_prop_total_value,avg_prop_gross_sqft
2023,BRONX,Non-Medical MFA - Verbal,NonMedical MFAs,10454,1,669273.0,16880.0
2023,BRONX,Odor - Other Smoke,NonMedical Emergencies,10454,36,669273.0,16880.0
2023,BRONX,Odor - Other Than Smoke,NonMedical Emergencies,10454,147,669273.0,16880.0
2023,BRONX,Other Commercial Building Fire,Structural Fires,10454,30,669273.0,16880.0
2023,BRONX,Other Public Building Fire,Structural Fires,10454,2,669273.0,16880.0
2023,BRONX,Other Transportation Fire,NonStructural Fires,10454,2,669273.0,16880.0
2023,BRONX,Private Dwelling Fire,Structural Fires,10454,5,669273.0,16880.0
2023,BRONX,Remove Civilian - Non-Fire,NonMedical Emergencies,10454,2,669273.0,16880.0
2023,BRONX,School Fire,Structural Fires,10454,5,669273.0,16880.0
2023,BRONX,Sprinkler System - Activated,NonMedical Emergencies,10454,1,669273.0,16880.0
2023,BRONX,Sprinkler System - Malfunction,NonMedical Emergencies,10454,7,669273.0,16880.0
2023,BRONX,Sprinkler System - Working on System,NonMedical Emergencies,10454,3,669273.0,16880.0
2023,BRONX,Undefined Emergency,NonMedical Emergencies,10454,7,669273.0,16880.0
2023,BRONX,Utility Emergency - Electric,NonMedical Emergencies,10454,56,669273.0,16880.0
2023,BRONX,Utility Emergency - Gas,NonMedical Emergencies,10454,182,669273.0,16880.0
2023,BRONX,Utility Emergency - Steam,NonMedical Emergencies,10454,27,669273.0,16880.0
2023,BRONX,Utility Emergency - Undefined,NonMedical Emergencies,10454,2,669273.0,16880.0
2023,BRONX,Utility Emergency - Water,NonMedical Emergencies,10454,283,669273.0,16880.0
2023,BRONX,Vehicle Accident - Other,NonMedical Emergencies,10454,104,669273.0,16880.0
2023,BRONX,Vehicle Accident - With Extrication,NonMedical Emergencies,10454,1,669273.0,16880.0
2023,BRONX,Abandoned Derelict Vehicle Fire,NonStructural Fires,10455,4,487749.0,13870.0
2023,BRONX,Alarm System - Defective,NonMedical Emergencies,10455,27,487749.0,13870.0
2023,BRONX,Alarm System - Testing,NonMedical Emergencies,10455,62,487749.0,13870.0
2023,BRONX,Alarm System - Unnecessary,NonMedical Emergencies,10455,281,487749.0,13870.0
2023,BRONX,Assist Civilian - Non-Medical,NonMedical Emergencies,10455,589,487749.0,13870.0
2023,BRONX,Automobile Fire,NonStructural Fires,10455,7,487749.0,13870.0
2023,BRONX,Brush Fire,NonStructural Fires,10455,1,487749.0,13870.0
2023,BRONX,Carbon Monoxide - Code 1 - Investigation,NonMedical Emergencies,10455,62,487749.0,13870.0
2023,BRONX,Carbon Monoxide - Code 2 - Incident (1-9 ppm),NonMedical Emergencies,10455,11,487749.0,13870.0
2023,BRONX,Carbon Monoxide - Code 3 - Emergency (over 9 ppm),NonMedical Emergencies,10455,8,487749.0,13870.0
2023,BRONX,Church Fire,Structural Fires,10455,1,487749.0,13870.0
2023,BRONX,Defective Oil Burner,NonMedical Emergencies,10455,6,487749.0,13870.0
2023,BRONX,Demolition Debris or Rubbish Fire,NonStructural Fires,10455,53,487749.0,13870.0
2023,BRONX,Downed Tree,NonMedical Emergencies,10455,3,487749.0,13870.0
2023,BRONX,Elevator Emergency - Occupied,NonMedical Emergencies,10455,351,487749.0,13870.0
2023,BRONX,Elevator Emergency - Unoccupied,NonMedical Emergencies,10455,262,487749.0,13870.0
2023,BRONX,Hospital Fire,Structural Fires,10455,1,487749.0,13870.0
2023,BRONX,Manhole Fire - Other,NonStructural Fires,10455,4,487749.0,13870.0
2023,BRONX,Manhole Fire - Seeping Smoke,NonStructural Fires,10455,3,487749.0,13870.0
2023,BRONX,Medical - Assist Civilian,Medical Emergencies,10455,14,487749.0,13870.0
2023,BRONX,Medical - Breathing / Ill or Sick,Medical Emergencies,10455,818,487749.0,13870.0
2023,BRONX,Medical - EMS Link 10-91,Medical Emergencies,10455,1256,487749.0,13870.0
2023,BRONX,Medical MFA - EMS Link,Medical MFAs,10455,12,487749.0,13870.0
2023,BRONX,Medical MFA - PD Link,Medical MFAs,10455,15,487749.0,13870.0
2023,BRONX,Medical - No PT Contact EMS is Onscene,Medical Emergencies,10455,652,487749.0,13870.0
2023,BRONX,Medical - PD Link 10-91,Medical Emergencies,10455,740,487749.0,13870.0
2023,BRONX,Medical - Serious Life Threatening,Medical Emergencies,10455,60,487749.0,13870.0
2023,BRONX,Medical - Victim Deceased,Medical Emergencies,10455,42,487749.0,13870.0
2023,BRONX,Multiple Dwelling 'A' - Compactor fire,Structural Fires,10455,2,487749.0,13870.0
2023,BRONX,Multiple Dwelling 'A' - Food on the stove fire,Structural Fires,10455,108,487749.0,13870.0
2023,BRONX,Multiple Dwelling 'A' - Other fire,Structural Fires,10455,53,487749.0,13870.0
2023,BRONX,Multiple Dwelling 'B' Fire,Structural Fires,10455,5,487749.0,13870.0
2023,BRONX,Non-Medical 10-91 (Unnecessary Alarm),NonMedical Emergencies,10455,10,487749.0,13870.0
2023,BRONX,Non-Medical MFA - ERS,NonMedical MFAs,10455,2,487749.0,13870.0
2023,BRONX,Non-Medical MFA - Phone,NonMedical MFAs,10455,91,487749.0,13870.0
2023,BRONX,Non-Medical MFA - Private Fire Alarm,NonMedical MFAs,10455,26,487749.0,13870.0
2023,BRONX,Odor - Other Smoke,NonMedical Emergencies,10455,22,487749.0,13870.0
2023,BRONX,Odor - Other Than Smoke,NonMedical Emergencies,10455,131,487749.0,13870.0
2023,BRONX,Other Commercial Building Fire,Structural Fires,10455,32,487749.0,13870.0
2023,BRONX,Other Public Building Fire,Structural Fires,10455,1,487749.0,13870.0
2023,BRONX,Other Transportation Fire,NonStructural Fires,10455,1,487749.0,13870.0
2023,BRONX,Private Dwelling Fire,Structural Fires,10455,4,487749.0,13870.0
2023,BRONX,Sprinkler System - Activated,NonMedical Emergencies,10455,2,487749.0,13870.0
2023,BRONX,Sprinkler System - Malfunction,NonMedical Emergencies,10455,11,487749.0,13870.0
2023,BRONX,Sprinkler System - Working on System,NonMedical Emergencies,10455,6,487749.0,13870.0
2023,BRONX,Store Fire,Structural Fires,10455,1,487749.0,13870.0
2023,BRONX,Transit System - Structural,Structural Fires,10455,1,487749.0,13870.0
2023,BRONX,Undefined Emergency,NonMedical Emergencies,10455,1,487749.0,13870.0
2023,BRONX,Under Contruction / Vacant Fire,Structural Fires,10455,1,487749.0,13870.0
2023,BRONX,Utility Emergency - Electric,NonMedical Emergencies,10455,60,487749.0,13870.0
2023,BRONX,Utility Emergency - Gas,NonMedical Emergencies,10455,168,487749.0,13870.0
2023,BRONX,Utility Emergency - Steam,NonMedical Emergencies,10455,31,487749.0,13870.0
2023,BRONX,Utility Emergency - Undefined,NonMedical Emergencies,10455,1,487749.0,13870.0
2023,BRONX,Utility Emergency - Water,NonMedical Emergencies,10455,244,487749.0,13870.0
2023,BRONX,Vehicle Accident - Other,NonMedical Emergencies,10455,79,487749.0,13870.0
2023,BRONX,Vehicle Accident - With Extrication,NonMedical Emergencies,10455,4,487749.0,13870.0
2023,BRONX,Abandoned Derelict Vehicle Fire,NonStructural Fires,10456,2,390279.0,13214.0
2023,BRONX,Alarm System - Defective,NonMedical Emergencies,10456,63,390279.0,13214.0
2023,BRONX,Alarm System - Testing,NonMedical Emergencies,10456,55,390279.0,13214.0
2023,BRONX,Alarm System - Unnecessary,NonMedical Emergencies,10456,441,390279.0,13214.0
2023,BRONX,Assist Civilian - Non-Medical,NonMedical Emergencies,10456,946,390279.0,13214.0
2023,BRONX,Automobile Fire,NonStructural Fires,10456,18,390279.0,13214.0
2023,BRONX,Brush Fire,NonStructural Fires,10456,2,390279.0,13214.0
2023,BRONX,Carbon Monoxide - Code 1 - Investigation,NonMedical Emergencies,10456,132,390279.0,13214.0
2023,BRONX,Carbon Monoxide - Code 2 - Incident (1-9 ppm),NonMedical Emergencies,10456,16,390279.0,13214.0
2023,BRONX,Carbon Monoxide - Code 3 - Emergency (over 9 ppm),NonMedical Emergencies,10456,3,390279.0,13214.0
2023,BRONX,Carbon Monoxide - Code 4 - No Detector Activation,NonMedical Emergencies,10456,1,390279.0,13214.0
2023,BRONX,Defective Oil Burner,NonMedical Emergencies,10456,12,390279.0,13214.0
2023,BRONX,Demolition Debris or Rubbish Fire,NonStructural Fires,10456,51,390279.0,13214.0
2023,BRONX,Downed Tree,NonMedical Emergencies,10456,4,390279.0,13214.0
2023,BRONX,Elevator Emergency - Occupied,NonMedical Emergencies,10456,815,390279.0,13214.0
2023,BRONX,Elevator Emergency - Unoccupied,NonMedical Emergencies,10456,373,390279.0,13214.0
2023,BRONX,Hospital Fire,Structural Fires,10456,2,390279.0,13214.0
2023,BRONX,Manhole Fire - Blown Cover,NonStructural Fires,10456,2,390279.0,13214.0
2023,BRONX,Manhole Fire - Other,NonStructural Fires,10456,1,390279.0,13214.0
2023,BRONX,Manhole Fire - Seeping Smoke,NonStructural Fires,10456,4,390279.0,13214.0
2023,BRONX,Medical - Assist Civilian,Medical Emergencies,10456,32,390279.0,13214.0
2023,BRONX,Medical - Breathing / Ill or Sick,Medical Emergencies,10456,1574,390279.0,13214.0
2023,BRONX,Medical - EMS Link 10-91,Medical Emergencies,10456,2197,390279.0,13214.0
2023,BRONX,Medical MFA - EMS Link,Medical MFAs,10456,21,390279.0,13214.0
2023,BRONX,Medical MFA - PD Link,Medical MFAs,10456,12,390279.0,13214.0
2023,BRONX,Medical - No PT Contact EMS is Onscene,Medical Emergencies,10456,718,390279.0,13214.0
2023,BRONX,Medical - PD Link 10-91,Medical Emergencies,10456,773,390279.0,13214.0
2023,BRONX,Medical - Serious Life Threatening,Medical Emergencies,10456,141,390279.0,13214.0
2023,BRONX,Medical - Victim Deceased,Medical Emergencies,10456,106,390279.0,13214.0
2023,BRONX,Multiple Dwelling 'A' - Compactor fire,Structural Fires,10456,14,390279.0,13214.0
2023,BRONX,Multiple Dwelling 'A' - Food on the stove fire,Structural Fires,10456,224,390279.0,13214.0
2023,BRONX,Multiple Dwelling 'A' - Other fire,Structural Fires,10456,116,390279.0,13214.0
2023,BRONX,Multiple Dwelling 'B' Fire,Structural Fires,10456,22,390279.0,13214.0
2023,BRONX,Non-Medical 10-91 (Unnecessary Alarm),NonMedical Emergencies,10456,14,390279.0,13214.0
2023,BRONX,Non-Medical MFA - ERS,NonMedical MFAs,10456,5,390279.0,13214.0
2023,BRONX,Non-Medical MFA - Phone,NonMedical MFAs,10456,165,390279.0,13214.0
2023,BRONX,Non-Medical MFA - Private Fire Alarm,NonMedical MFAs,10456,36,390279.0,13214.0
2023,BRONX,Non-Medical MFA - Verbal,NonMedical MFAs,10456,1,390279.0,13214.0
2023,BRONX,Odor - Other Smoke,NonMedical Emergencies,10456,68,390279.0,13214.0
2023,BRONX,Odor - Other Than Smoke,NonMedical Emergencies,10456,314,390279.0,13214.0
2023,BRONX,Other Commercial Building Fire,Structural Fires,10456,52,390279.0,13214.0
2023,BRONX,Other Transportation Fire,NonStructural Fires,10456,1,390279.0,13214.0
2023,BRONX,Private Dwelling Fire,Structural Fires,10456,21,390279.0,13214.0
2023,BRONX,Remove Civilian - Non-Fire,NonMedical Emergencies,10456,2,390279.0,13214.0
2023,BRONX,School Fire,Structural Fires,10456,3,390279.0,13214.0
2023,BRONX,Sprinkler System - Activated,NonMedical Emergencies,10456,1,390279.0,13214.0
2023,BRONX,Sprinkler System - Malfunction,NonMedical Emergencies,10456,4,390279.0,13214.0
2023,BRONX,Sprinkler System - Working on System,NonMedical Emergencies,10456,2,390279.0,13214.0
2023,BRONX,Store Fire,Structural Fires,10456,3,390279.0,13214.0
2023,BRONX,Undefined Emergency,NonMedical Emergencies,10456,13,390279.0,13214.0
2023,BRONX,Utility Emergency - Electric,NonMedical Emergencies,10456,139,390279.0,13214.0
2023,BRONX,Utility Emergency - Gas,NonMedical Emergencies,10456,320,390279.0,13214.0
2023,BRONX,Utility Emergency - Steam,NonMedical Emergencies,10456,57,390279.0,13214.0
2023,BRONX,Utility Emergency - Undefined,NonMedical Emergencies,10456,1,390279.0,13214.0
2023,BRONX,Utility Emergency - Water,NonMedical Emergencies,10456,552,390279.0,13214.0
2023,BRONX,Vehicle Accident - Other,NonMedical Emergencies,10456,75,390279.0,13214.0
2023,BRONX,Abandoned Derelict Vehicle Fire,NonStructural Fires,10459,1,294387.0,9511.0
2023,BRONX,Alarm System - Defective,NonMedical Emergencies,10459,53,294387.0,9511.0
2023,BRONX,Alarm System - Testing,NonMedical Emergencies,10459,56,294387.0,9511.0
2023,BRONX,Alarm System - Unnecessary,NonMedical Emergencies,10459,260,294387.0,9511.0
2023,BRONX,Assist Civilian - Non-Medical,NonMedical Emergencies,10459,405,294387.0,9511.0
2023,BRONX,Automobile Fire,NonStructural Fires,10459,14,294387.0,9511.0
2023,BRONX,Brush Fire,NonStructural Fires,10459,8,294387.0,9511.0
2023,BRONX,Carbon Monoxide - Code 1 - Investigation,NonMedical Emergencies,10459,62,294387.0,9511.0
2023,BRONX,Carbon Monoxide - Code 2 - Incident (1-9 ppm),NonMedical Emergencies,10459,11,294387.0,9511.0
2023,BRONX,Carbon Monoxide - Code 3 - Emergency (over 9 ppm),NonMedical Emergencies,10459,6,294387.0,9511.0
2023,BRONX,Carbon Monoxide - Code 4 - No Detector Activation,NonMedical Emergencies,10459,2,294387.0,9511.0
2023,BRONX,Church Fire,Structural Fires,10459,2,294387.0,9511.0
2023,BRONX,Defective Oil Burner,NonMedical Emergencies,10459,12,294387.0,9511.0
2023,BRONX,Demolition Debris or Rubbish Fire,NonStructural Fires,10459,32,294387.0,9511.0
2023,BRONX,Downed Tree,NonMedical Emergencies,10459,1,294387.0,9511.0
2023,BRONX,Elevator Emergency - Occupied,NonMedical Emergencies,10459,135,294387.0,9511.0
2023,BRONX,Elevator Emergency - Unoccupied,NonMedical Emergencies,10459,46,294387.0,9511.0
2023,BRONX,Factory Fire,Structural Fires,10459,1,294387.0,9511.0
2023,BRONX,Manhole Fire - Blown Cover,NonStructural Fires,10459,1,294387.0,9511.0
2023,BRONX,Manhole Fire - Other,NonStructural Fires,10459,3,294387.0,9511.0
2023,BRONX,Manhole Fire - Seeping Smoke,NonStructural Fires,10459,14,294387.0,9511.0
2023,BRONX,Medical - Assist Civilian,Medical Emergencies,10459,7,294387.0,9511.0
2023,BRONX,Medical - Breathing / Ill or Sick,Medical Emergencies,10459,1049,294387.0,9511.0
2023,BRONX,Medical - EMS Link 10-91,Medical Emergencies,10459,1157,294387.0,9511.0
2023,BRONX,Medical MFA - EMS Link,Medical MFAs,10459,11,294387.0,9511.0
2023,BRONX,Medical MFA - PD Link,Medical MFAs,10459,7,294387.0,9511.0
2023,BRONX,Medical - No PT Contact EMS is Onscene,Medical Emergencies,10459,433,294387.0,9511.0
2023,BRONX,Medical - PD Link 10-91,Medical Emergencies,10459,484,294387.0,9511.0
2023,BRONX,Medical - Serious Life Threatening,Medical Emergencies,10459,55,294387.0,9511.0
2023,BRONX,Medical - Victim Deceased,Medical Emergencies,10459,51,294387.0,9511.0
2023,BRONX,Multiple Dwelling 'A' - Compactor fire,Structural Fires,10459,1,294387.0,9511.0
2023,BRONX,Multiple Dwelling 'A' - Food on the stove fire,Structural Fires,10459,115,294387.0,9511.0
2023,BRONX,Multiple Dwelling 'A' - Other fire,Structural Fires,10459,53,294387.0,9511.0
2023,BRONX,Multiple Dwelling 'B' Fire,Structural Fires,10459,11,294387.0,9511.0
2023,BRONX,Non-Medical 10-91 (Unnecessary Alarm),NonMedical Emergencies,10459,10,294387.0,9511.0
2023,BRONX,Non-Medical MFA - ERS,NonMedical MFAs,10459,1,294387.0,9511.0
2023,BRONX,Non-Medical MFA - Phone,NonMedical MFAs,10459,78,294387.0,9511.0
2023,BRONX,Non-Medical MFA - Private Fire Alarm,NonMedical MFAs,10459,31,294387.0,9511.0
2023,BRONX,Non-Medical MFA - Verbal,NonMedical MFAs,10459,2,294387.0,9511.0
2023,BRONX,Odor - Other Smoke,NonMedical Emergencies,10459,23,294387.0,9511.0
2023,BRONX,Odor - Other Than Smoke,NonMedical Emergencies,10459,147,294387.0,9511.0
2023,BRONX,Other Commercial Building Fire,Structural Fires,10459,35,294387.0,9511.0
2023,BRONX,Private Dwelling Fire,Structural Fires,10459,12,294387.0,9511.0
2023,BRONX,Sprinkler System - Activated,NonMedical Emergencies,10459,1,294387.0,9511.0
2023,BRONX,Sprinkler System - Malfunction,NonMedical Emergencies,10459,9,294387.0,9511.0
2023,BRONX,Sprinkler System - Working on System,NonMedical Emergencies,10459,3,294387.0,9511.0
2023,BRONX,Store Fire,Structural Fires,10459,3,294387.0,9511.0
2023,BRONX,Undefined Emergency,NonMedical Emergencies,10459,11,294387.0,9511.0
2023,BRONX,Utility Emergency - Electric,NonMedical Emergencies,10459,40,294387.0,9511.0
2023,BRONX,Utility Emergency - Gas,NonMedical Emergencies,10459,168,294387.0,9511.0
2023,BRONX,Utility Emergency - Steam,NonMedical Emergencies,10459,10,294387.0,9511.0
2023,BRONX,Utility Emergency - Undefined,NonMedical Emergencies,10459,1,294387.0,9511.0
2023,BRONX,Utility Emergency - Water,NonMedical Emergencies,10459,235,294387.0,9511.0
2023,BRONX,Vehicle Accident - Other,NonMedical Emergencies,10459,98,294387.0,9511.0
2023,BRONX,Vehicle Accident - With Extrication,NonMedical Emergencies,10459,1,294387.0,9511.0
2023,BRONX,Abandoned Derelict Vehicle Fire,NonStructural Fires,10460,1,370757.0,11211.0
2023,BRONX,Alarm System - Defective,NonMedical Emergencies,10460,47,370757.0,11211.0
2023,BRONX,Alarm System - Testing,NonMedical Emergencies,10460,42,370757.0,11211.0
2023,BRONX,Alarm System - Unnecessary,NonMedical Emergencies,10460,332,370757.0,11211.0
2023,BRONX,Assist Civilian - Non-Medical,NonMedical Emergencies,10460,555,370757.0,11211.0
2023,BRONX,Automobile Fire,NonStructural Fires,10460,11,370757.0,11211.0
2023,BRONX,Brush Fire,NonStructural Fires,10460,9,370757.0,11211.0
2023,BRONX,Carbon Monoxide - Code 1 - Investigation,NonMedical Emergencies,10460,90,370757.0,11211.0
2023,BRONX,Carbon Monoxide - Code 2 - Incident (1-9 ppm),NonMedical Emergencies,10460,17,370757.0,11211.0
2023,BRONX,Carbon Monoxide - Code 3 - Emergency (over 9 ppm),NonMedical Emergencies,10460,11,370757.0,11211.0
2023,BRONX,Defective Oil Burner,NonMedical Emergencies,10460,20,370757.0,11211.0
2023,BRONX,Demolition Debris or Rubbish Fire,NonStructural Fires,10460,48,370757.0,11211.0
2023,BRONX,Downed Tree,NonMedical Emergencies,10460,8,370757.0,11211.0
2023,BRONX,Elevator Emergency - Occupied,NonMedical Emergencies,10460,231,370757.0,11211.0
2023,BRONX,Elevator Emergency - Unoccupied,NonMedical Emergencies,10460,110,370757.0,11211.0
2023,BRONX,Manhole Fire - Blown Cover,NonStructural Fires,10460,2,370757.0,11211.0
2023,BRONX,Manhole Fire - Other,NonStructural Fires,10460,3,370757.0,11211.0
2023,BRONX,Manhole Fire - Seeping Smoke,NonStructural Fires,10460,5,370757.0,11211.0
